Core, 0
Cumulative Cycles, 10132915            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.97377
Periodic Cycles, 4898572             
Periodic Instructions, 10000000            
Periodic IPC, 2.04141

BTB_ON_PATH_MISS_count,        351286
BTB_ON_PATH_MISS_pct,       19.824
BTB_ON_PATH_MISS_total_count,        707064
BTB_ON_PATH_MISS_total_pct,       19.875

BTB_ON_PATH_HIT_count,       1420736
BTB_ON_PATH_HIT_pct,       80.176
BTB_ON_PATH_HIT_total_count,       2850560
BTB_ON_PATH_HIT_total_pct,       80.125
BTB_ON_PATH_HIT_sum_count,       1772022
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       3557624
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.80
BTB_ON_PATH_HIT_stddev,         0.74
BTB_ON_PATH_HIT_total_mean,         0.80
BTB_ON_PATH_HIT_total_stddev,         0.74

BTB_OFF_PATH_MISS_count,        702349
BTB_OFF_PATH_MISS_pct,       19.758
BTB_OFF_PATH_MISS_total_count,       1497493
BTB_OFF_PATH_MISS_total_pct,       19.893

BTB_OFF_PATH_HIT_count,       2852376
BTB_OFF_PATH_HIT_pct,       80.242
BTB_OFF_PATH_HIT_total_count,       6030076
BTB_OFF_PATH_HIT_total_pct,       80.107
BTB_OFF_PATH_HIT_sum_count,       3554725
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       7527569
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.80
BTB_OFF_PATH_HIT_stddev,         0.74
BTB_OFF_PATH_HIT_total_mean,         0.80
BTB_OFF_PATH_HIT_total_stddev,         0.74

BTB_ON_PATH_WRITE_count,         57358
BTB_ON_PATH_WRITE_pct,       99.988
BTB_ON_PATH_WRITE_total_count,        115247
BTB_ON_PATH_WRITE_total_pct,       99.925

BTB_OFF_PATH_WRITE_count,             7
BTB_OFF_PATH_WRITE_pct,        0.012
BTB_OFF_PATH_WRITE_total_count,            87
BTB_OFF_PATH_WRITE_total_pct,        0.075
BTB_OFF_PATH_WRITE_sum_count,         57365
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        115334
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.01
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.03

BP_ON_PATH_CORRECT_count,       1711227
BP_ON_PATH_CORRECT_pct,       96.569
BP_ON_PATH_CORRECT_total_count,       3428835
BP_ON_PATH_CORRECT_total_pct,       96.380

BP_ON_PATH_MISPREDICT_count,         54222
BP_ON_PATH_MISPREDICT_pct,        3.060
BP_ON_PATH_MISPREDICT_total_count,        115529
BP_ON_PATH_MISPREDICT_total_pct,        3.247

BP_ON_PATH_MISFETCH_count,          6573
BP_ON_PATH_MISFETCH_pct,        0.371
BP_ON_PATH_MISFETCH_total_count,         13260
BP_ON_PATH_MISFETCH_total_pct,        0.373
BP_ON_PATH_MISFETCH_sum_count,       1772022
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       3557624
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.04
BP_ON_PATH_MISFETCH_stddev,         0.21
BP_ON_PATH_MISFETCH_total_mean,         0.04
BP_ON_PATH_MISFETCH_total_stddev,         0.21

BP_OFF_PATH_CORRECT_count,       3099618
BP_OFF_PATH_CORRECT_pct,       87.197
BP_OFF_PATH_CORRECT_total_count,       6507867
BP_OFF_PATH_CORRECT_total_pct,       86.454

BP_OFF_PATH_MISPREDICT_count,        393470
BP_OFF_PATH_MISPREDICT_pct,       11.069
BP_OFF_PATH_MISPREDICT_total_count,        884147
BP_OFF_PATH_MISPREDICT_total_pct,       11.745

BP_OFF_PATH_MISFETCH_count,         61637
BP_OFF_PATH_MISFETCH_pct,        1.734
BP_OFF_PATH_MISFETCH_total_count,        135555
BP_OFF_PATH_MISFETCH_total_pct,        1.801
BP_OFF_PATH_MISFETCH_sum_count,       3554725
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       7527569
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.15
BP_OFF_PATH_MISFETCH_stddev,         0.38
BP_OFF_PATH_MISFETCH_total_mean,         0.15
BP_OFF_PATH_MISFETCH_total_stddev,         0.38

LATE_BP_ON_PATH_CORRECT_count,       1772022
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       3557624
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1772022
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       3557624
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,       3554725
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,       7527569
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,       3554725
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,       7527569
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

